Option,Group,GroupName
G4-temp-0.5m-B,1338,G4-temp-0.5m-A
G4-L-2m-B,1336,G4-L-2m-A
G4-L-2m-A,1336,G4-L-2m-A
G4-L-1m-B,1334,G4-L-1m-A
G4-L-1m-A,1334,G4-L-1m-A
G4-L-0m-A,1332,G4-L-0m-A
G4-L-0m-B,1332,G4-L-0m-A
G4-L-0.5m-B,1330,G4-L-0.5m-A
G4-L-0.5m-A,1330,G4-L-0.5m-A
G2 Temperature 2m b,1328,G2 Temperature 2m a
G2 Temperature 2m a,1328,G2 Temperature 2m a
G2 Temperature 1m a,1326,G2 Temperature 1m a
G2 Temperature 1m b,1326,G2 Temperature 1m a
G2 Temperature 0m b,1324,G2 Temperature 0m a
G2 Temperature 0m a,1324,G2 Temperature 0m a
G2 Temperature 0.5m b,1322,G2 Temperature 0.5m a
G2 Temperature 0.5m a,1322,G2 Temperature 0.5m a
G2 Luftfeuchtigkeit 2m b,1320,G2 Luftfeuchtigkeit 2m a
G2 Luftfeuchtigkeit 2m a,1320,G2 Luftfeuchtigkeit 2m a
G2 Luftfeuchtigkeit 1m b,1318,G2 Luftfeuchtigkeit 1m a
G2 Luftfeuchtigkeit 1m a,1318,G2 Luftfeuchtigkeit 1m a
G2 Luftfeuchtigkeit 0m b,1316,G2 Luftfeuchtigkeit 0m a
G2 Luftfeuchtigkeit 0m a,1316,G2 Luftfeuchtigkeit 0m a
G2 Luftfeuchtigkeit 0.5m a,1314,G2 Luftfeuchtigkeit 0.5m a
G2 Luftfeuchtigkeit 0.5m b,1314,G2 Luftfeuchtigkeit 0.5m a
G1_Lufttemperatur_2m_B,1312,G1_Lufttemperatur_2m_A
G1_Lufttemperatur_2m_A,1312,G1_Lufttemperatur_2m_A
G1_Lufttemperatur_1m_B,1310,G1_Lufttemperatur_1m_A
G1_Lufttemperatur_1m_A,1310,G1_Lufttemperatur_1m_A
G1_Lufttemperatur_0m_A,1308,G1_Lufttemperatur_0m_A
G1_Lufttemperatur_0m_B,1308,G1_Lufttemperatur_0m_A
G1_Lufttemperatur_0.5m_A,1306,G1_Lufttemperatur_0.5m_A
G1_Lufttemperatur_0.5m_B,1306,G1_Lufttemperatur_0.5m_A
G1_Luftfeuchte_2m_B,1304,G1_Luftfeuchte_2m_A
G1_Luftfeuchte_2m_A,1304,G1_Luftfeuchte_2m_A
G1_Luftfeuchte_1m_B,1302,G1_Luftfeuchte_1m_A
G1_Luftfeuchte_1m_A,1302,G1_Luftfeuchte_1m_A
G1_Luftfeuchte_0m_A,1300,G1_Luftfeuchte_0m_A
G1_Luftfeuchte_0m_B,1300,G1_Luftfeuchte_0m_A
G1_Luftfeuchte_0.5m_B,1298,G1_Luftfeuchte_0.5m_A
G1_Luftfeuchte_0.5m_A,1298,G1_Luftfeuchte_0.5m_A
Fine Particular Matter PM10,1295,Fine Particular Matter PM10
Fine Particular Matter PM2.5,1295,Fine Particular Matter PM10
fine particle matter PM10.0,1293,fine particle matter PM10.0
fine particle matter PM2.5,1293,fine particle matter PM10.0
Feinstaub PM1.0,1291,Feinstaub PM1
Feinstaub PM1,1291,Feinstaub PM1
PM 10.0,1286,Feinstaub PM
"Feinstaub PM 2,5",1286,Feinstaub PM
"Feinstaub PM 10,0",1286,Feinstaub PM
Feinstaub PM 2.5,1286,Feinstaub PM
Feinstaub PM 10,1286,Feinstaub PM
Feinstaub 10.0,1284,Feinstaub 10.0
Feinstaub-10,1284,Feinstaub 10.0
Feinstaub 10,1279,Feinstaub
"Feinstaub 2,5",1279,Feinstaub
Feinstaub,1279,Feinstaub
Feinstaub 2.5,1279,Feinstaub
Feinstaub-2.5,1279,Feinstaub
fan speed,1277,FAN speed
FAN speed,1277,FAN speed
Eventniederschlag 1,1275,Eventniederschlag
Eventniederschlag 2,1275,Eventniederschlag
dust sensor,1272,dust sensor
Temperature dust sensor,1272,dust sensor
Humidity dust sensor,1272,dust sensor
Dust PM 2.5,1270,Dust PM
Dust PM 10,1270,Dust PM
Dust PM2.5,1266,Dust (PM2.5)
"Dust PM2,5",1266,Dust (PM2.5)
Dust (PM2.5),1266,Dust (PM2.5)
Fine Dust PM2.5,1266,Dust (PM2.5)
Fine Dust PM10,1263,Dust (PM10)
Dust PM10,1263,Dust (PM10)
Dust (PM10),1263,Dust (PM10)
distance,1261,Distance
Distance,1261,Distance
Direction,1259,direction
direction,1259,direction
Dewpoint,1257,Dewpoint
dewpoint,1257,Dewpoint
Device Temperature,1255,Device Temperature
Inside Device Temperature,1255,Device Temperature
Dense PM 4.0,1251,Dense PM 1.0
Dense PM 2.5,1251,Dense PM 1.0
Dense PM 10,1251,Dense PM 1.0
Dense PM 1.0,1251,Dense PM 1.0
Current Rain Rate,1249,Current Rain Rate
Rain Rate,1249,Current Rain Rate
Cumulative Energy Production,1246,Cumulative Energy Production
Energy Production,1246,Cumulative Energy Production
Energy production,1246,Cumulative Energy Production
CO₂ (6),1243,CO₂
CO₂,1243,CO₂
CO₂ (4),1243,CO₂
Co2SCD41,1241,CO2SCD41
CO2SCD41,1241,CO2SCD41
CO2_scd30,1239,CO2_SCD30
CO2_SCD30,1239,CO2_SCD30
CO2-Äquivalent,1236,CO2 Äquivalent
CO2 Äquivalent,1236,CO2 Äquivalent
CO2 Äquivalent (BME680),1236,CO2 Äquivalent
CO2_13,1190,CO2
co2,1190,CO2
CO2_17,1190,CO2
CO2_16,1190,CO2
CO2_15,1190,CO2
Co2,1190,CO2
CO2 (1),1190,CO2
CO2 (2),1190,CO2
CO2 (3),1190,CO2
CO2_14,1190,CO2
CO2_00,1190,CO2
CO2_11,1190,CO2
CO2_12,1190,CO2
CO2_01,1190,CO2
CO2_02,1190,CO2
CO2_03,1190,CO2
CO2_04,1190,CO2
CO2_05,1190,CO2
CO2_06,1190,CO2
CO2_07,1190,CO2
CO2_08,1190,CO2
CO2_09,1190,CO2
CO2_10,1190,CO2
CO2_18,1190,CO2
CO2,1190,CO2
CO2_27,1190,CO2
CO2_26,1190,CO2
CO2_36,1190,CO2
CO2_35,1190,CO2
CO2_34,1190,CO2
CO2_33,1190,CO2
CO2_32,1190,CO2
CO2_31,1190,CO2
CO2_30,1190,CO2
CO2_29,1190,CO2
CO2_28,1190,CO2
CO2_19,1190,CO2
CO2_25,1190,CO2
CO2_38,1190,CO2
CO2_39,1190,CO2
CO2_24,1190,CO2
CO2_23,1190,CO2
CO2_22,1190,CO2
CO2_21,1190,CO2
CO2_20,1190,CO2
CO2_37,1190,CO2
Luftdruck | Ciśnienie atmosferyczne,1187,Ciśnienie atmosferyczne
Ciśnienie atmosferyczne,1187,Ciśnienie atmosferyczne
Ciśnienie,1185,Ciśnienie
CIŚNIENIE,1185,Ciśnienie
CO - Carbon Monoxide,1183,Carbon monoxide - CO
Carbon monoxide - CO,1183,Carbon monoxide - CO
MiCS6814 - CO - Carbon monoxide,1183,Carbon monoxide - CO
Bodentemperatur 30 cm,1181,Bodentemperatur 30 cm
Bodentemperatur B (30 cm),1181,Bodentemperatur 30 cm
Bodentemperatur -5cm,1179,Bodentemperatur -5cm
Bodentemperatur 5cm,1179,Bodentemperatur -5cm
Bodentemperatur (10cm Tiefe),1177,Bodentemperatur (10cm Tiefe)
Bodentemperatur 10cm,1177,Bodentemperatur (10cm Tiefe)
Bodentemperatur 3,1169,Bodentemperatur
Bodentemperatur_2,1169,Bodentemperatur
Bodentemperatur_3,1169,Bodentemperatur
Bodentemperatur 1,1169,Bodentemperatur
Bodentemperatur_1,1169,Bodentemperatur
Bodentemperatur,1169,Bodentemperatur
Bodentemperatur 2,1169,Bodentemperatur
Bodentemperatur 4,1169,Bodentemperatur
Bodenfeuchte Sensor 1,1167,Bodenfeuchte Sensor
Bodenfeuchte Sensor 2,1167,Bodenfeuchte Sensor
Bodenfeuchte-80cm,1165,Bodenfeuchte 80cm
Bodenfeuchte 80cm,1165,Bodenfeuchte 80cm
Bodentemperatur 60cm (bald verfügbar),1163,Bodenfeuchte 60cm (bald verfügbar)
Bodenfeuchte 60cm (bald verfügbar),1163,Bodenfeuchte 60cm (bald verfügbar)
Bodenfeuchte 60cm,1161,Bodenfeuchte 60cm
Bodenfeuchte-60cm,1161,Bodenfeuchte 60cm
Bodenfeuchte 30cm (bald verfügbar),1159,Bodenfeuchte 30cm (bald verfügbar)
Bodentemperatur 30cm (bald verfügbar),1159,Bodenfeuchte 30cm (bald verfügbar)
Bodenfeuchte 30cm,1157,Bodenfeuchte 30cm
Bodenfeuchte-30cm,1157,Bodenfeuchte 30cm
Bodenfeuchte B (30 cm),1155,Bodenfeuchte 30 cm
Bodenfeuchte 30 cm,1155,Bodenfeuchte 30 cm
Bodenfeuchte 20cm,1153,Bodenfeuchte 20cm
Bodenfeuchte-20cm,1153,Bodenfeuchte 20cm
Bodenfeuchte-10cm,1150,Bodenfeuchte (10cm Tiefe)
Bodenfeuchte 10cm,1150,Bodenfeuchte (10cm Tiefe)
Bodenfeuchte (10cm Tiefe),1150,Bodenfeuchte (10cm Tiefe)
Bodenfeuchte_2,1141,Bodenfeuchte
Bodenfeuchte 4,1141,Bodenfeuchte
Bodenfeuchte C,1141,Bodenfeuchte
Bodenfeuchte 3,1141,Bodenfeuchte
Bodenfeuchte_3,1141,Bodenfeuchte
Bodenfeuchte 2,1141,Bodenfeuchte
Bodenfeuchte 1,1141,Bodenfeuchte
Bodenfeuchte,1141,Bodenfeuchte
Bodenfeuchte_1,1141,Bodenfeuchte
BME680 Lufttemperatur B,1139,BME680 Lufttemperatur A
BME680 Lufttemperatur A,1139,BME680 Lufttemperatur A
BME680 Luftfeuchte A,1137,BME680 Luftfeuchte A
BME680 Luftfeuchte B,1137,BME680 Luftfeuchte A
BME680 - VOC Volatile Organic Compounds,1135,BME680 - VOC - Volatile Organic Compounds
BME680 - VOC - Volatile Organic Compounds,1135,BME680 - VOC - Volatile Organic Compounds
BME280-Temperatur,1133,BME280-Temperatur
BME280: Temperatur,1133,BME280-Temperatur
BME280: rel. Luftfeuchte,1131,BME280-rel. Luftfeuchte
BME280-rel. Luftfeuchte,1131,BME280-rel. Luftfeuchte
BME280: Luftdruck,1129,BME280-Luftdruck
BME280-Luftdruck,1129,BME280-Luftdruck
ble,1127,BLE
BLE,1127,BLE
BF_40,1125,BF_40
BF_5,1125,BF_40
Beschleunigung auf der X-Achse,1122,Beschleunigung auf der X-Achse
Beschleunigung auf der Y-Achse,1122,Beschleunigung auf der X-Achse
Beschleunigung auf der Z-Achse,1122,Beschleunigung auf der X-Achse
Beschleunigung (X-Achse),1116,Beschleunigung (X-Achse)
Beschleunigung Z-Achse,1116,Beschleunigung (X-Achse)
Beschleunigung (Z-Achse),1116,Beschleunigung (X-Achse)
Beschleunigung (Y-Achse),1116,Beschleunigung (X-Achse)
Beschleunigung X-Achse,1116,Beschleunigung (X-Achse)
Beschleunigung Y-Achse,1116,Beschleunigung (X-Achse)
Beschleunigung (Z),1109,Beschleunigung
Beschleunigung X,1109,Beschleunigung
Beschleunigung,1109,Beschleunigung
Beschleunigung (X),1109,Beschleunigung
Beschleunigung (Y),1109,Beschleunigung
Beschleunigung Z,1109,Beschleunigung
Beschleunigung Y,1109,Beschleunigung
Battery voltage,1106,Battery voltage
battery voltage,1106,Battery voltage
Battery Voltage,1106,Battery voltage
Battery temperature,1104,Battery temperature
Battery Temperature,1104,Battery temperature
Battery level,1102,Battery level
Battery Level,1102,Battery level
Battery,1100,Battery
battery,1100,Battery
Barometric pressure,1097,barometric pressure
Barometric Pressure,1097,barometric pressure
barometric pressure,1097,barometric pressure
Barometer,1095,Barometer
barometer,1095,Barometer
Atmospheric Pressure,1093,Atmospheric pressure
Atmospheric pressure,1093,Atmospheric pressure
Assistenz Temperature HDC1080,1091,Assistenz Temperature HDC1080
Assistenz Temperature SHT85,1091,Assistenz Temperature HDC1080
Assistenz Humidity HDC1080,1089,Assistenz Humidity HDC1080
Assistenz Humidity SHT85,1089,Assistenz Humidity HDC1080
AS3935 - Disturber,1087,AS3935 -  Disturber
AS3935 -  Disturber,1087,AS3935 -  Disturber
AQI 10,1084,AQI
AQI,1084,AQI
AQI 2.5,1084,AQI
Ambient light,1082,Ambient light
Ambient Light,1082,Ambient light
Altitude,1080,altitude
altitude,1080,altitude
AirQuality,1078,Airquality
Airquality,1078,Airquality
AirPressure,1076,Airpressure
Airpressure,1076,Airpressure
Air Quality Index,1072,Air quality
Air Quality,1072,Air quality
Air quality,1072,Air quality
Air-Quality,1072,Air quality
Air pollution PM 1.0,1069,Air pollution PM 1.0
Air pollution PM 2.5,1069,Air pollution PM 1.0
Air pollution PM 10,1069,Air pollution PM 1.0
Air Dust Particles PM10,1067,Air Dust Particles PM10
Air Dust Particles PM2.5,1067,Air Dust Particles PM10
Air pressure,1061,Air  Pressure
Air Pressure,1061,Air  Pressure
air pressure,1061,Air  Pressure
AIR PRESSURE,1061,Air  Pressure
BME680 - Air pressure,1061,Air  Pressure
Air  Pressure,1061,Air  Pressure
ADC3,1059,ADC3
adc3,1059,ADC3
ADC2,1057,ADC2
adc2,1057,ADC2
ADC1,1055,ADC1
adc1,1055,ADC1
AD-Wandler 1,1051,AD-Wandler
AD-Wandler 2,1051,AD-Wandler
AD-Wandler 3,1051,AD-Wandler
AD-Wandler 4,1051,AD-Wandler
Solar Power,1048,Active Solar Power
Active Solar Power,1048,Active Solar Power
Solar-Power,1048,Active Solar Power
Acceleration X-Axis,1045,Acceleration X-Axis
Acceleration Y-Axis,1045,Acceleration X-Axis
Acceleration Z-Axis,1045,Acceleration X-Axis
Abstand nach links,1043,Abstand nach links
Abstand(nach links),1043,Abstand nach links
Absolute Luftfeuchtigkeit,1041,absolute Luftfeuchtigkeit
absolute Luftfeuchtigkeit,1041,absolute Luftfeuchtigkeit
SDS011 - PM2.5,1039,[SDS011] PM2.5
[SDS011] PM2.5,1039,[SDS011] PM2.5
SDS011 - PM10.0,1037,[SDS011] PM10
[SDS011] PM10,1037,[SDS011] PM10
9 Humidity SHT85 Wiese,1035,Humidity SHT85 Wiese
9 Temperature SHT85 Wiese,1035,Humidity SHT85 Wiese
9 Temperature SHT85 Steinbank,1033,Humidity SHT85 Steinbank
9 Humidity SHT85 Steinbank,1033,Humidity SHT85 Steinbank
9 Temperature SHT85 Dach,1031,Humidity SHT85 Dach
9 Humidity SHT85 Dach,1031,Humidity SHT85 Dach
9 Humidity SHT85 Blumentopf,1029,Humidity SHT85 Blumentopf
9 Temperature SHT85 Blumentopf,1029,Humidity SHT85 Blumentopf
pH Atlas Scientific,1024,8b pH Atlas Scientific
8b pH Atlas Scientific,1024,8b pH Atlas Scientific
PT-1000,1021,8a Temperatur PT-1000
"Temperatur, PT-1000",1021,8a Temperatur PT-1000
8a Temperatur PT-1000,1021,8a Temperatur PT-1000
8b Temperatur PT-1000,1021,8a Temperatur PT-1000
Temperatur 1 (G),988,Temperatur
Temperatur 1,988,Temperatur
Temperatur 3,988,Temperatur
Temperatur 2,988,Temperatur
Temperatur 2 (G),988,Temperatur
8 Temperatur,988,Temperatur
Temperatur [°C],988,Temperatur
Temperatur (3),988,Temperatur
Temperatur_08,988,Temperatur
Temperatur_1,988,Temperatur
Temperatur_10,988,Temperatur
Temperatur_11,988,Temperatur
Temperatur_2,988,Temperatur
Temperatur_3,988,Temperatur
Temperatur 3 (G),988,Temperatur
Temperatur (4),988,Temperatur
Temperatur_07,988,Temperatur
Temperatur_06,988,Temperatur
Temperatur (2),988,Temperatur
Temperatur_05,988,Temperatur
Temperatur (1),988,Temperatur
Temperatur_4,988,Temperatur
Temperatur I,988,Temperatur
Temperatur,988,Temperatur
Temperatur_04,988,Temperatur
Temperatur_03,988,Temperatur
Temperatur_02,988,Temperatur
Temperatur_01,988,Temperatur
Temperatur 4 (A),988,Temperatur
Temperatur (6),988,Temperatur
Temperatur 4,988,Temperatur
temperatur,988,Temperatur
Temperatur_09,988,Temperatur
rel. Luftfeuchte [%],967,rel. Luftfeuchte
rel. Luftfeuchte?,967,rel. Luftfeuchte
rel. Luftfeuchte 2,967,rel. Luftfeuchte
rel.Luftfeuchte,967,rel. Luftfeuchte
rel. Luftfeuchte 1,967,rel. Luftfeuchte
rel.Luftfeuchte_1,967,rel. Luftfeuchte
rel.Luftfeuchte_2,967,rel. Luftfeuchte
8 rel. Luftfeuchte,967,rel. Luftfeuchte
rel-. Luftfeuchte,967,rel. Luftfeuchte
rel- Luftfeuchte,967,rel. Luftfeuchte
rel.Luftfeuchte_3,967,rel. Luftfeuchte
rel.Luftfeuchte_4,967,rel. Luftfeuchte
rel. Luftfeuchte (6),967,rel. Luftfeuchte
rel. Luftfeuchte (4),967,rel. Luftfeuchte
rel. Luftfeuchte (3),967,rel. Luftfeuchte
rel. Luftfeuchte_2,967,rel. Luftfeuchte
Rel. Luftfeuchte,967,rel. Luftfeuchte
rel. luftfeuchte,967,rel. Luftfeuchte
rel. Luftfeuchte (1),967,rel. Luftfeuchte
rel. Luftfeuchte,967,rel. Luftfeuchte
rel. Luftfeuchte (2),967,rel. Luftfeuchte
8 PM1,963,PM1
PM1,963,PM1
pm1,963,PM1
PM1.0,963,PM1
Luftdruck 1,957,Luftdruck
8 Luftdruck,957,Luftdruck
luftdruck,957,Luftdruck
Luftdruck,957,Luftdruck
Luftdruck N.N.,957,Luftdruck
LuftDruck,957,Luftdruck
7B Luftfeuchte SHT31,955,7B Luftfeuchte
7B Luftfeuchte,955,7B Luftfeuchte
7A Luftfeuchte,953,7A Luftfeuchte
7A Luftfeuchte SHT31,953,7A Luftfeuchte
7 Temperature SHT 31 flex,951,Humidity SHT 31 flex
7 Humidity SHT 31 flex,951,Humidity SHT 31 flex
6 Windrichtung,946,Windrichtung
Windrichtung,946,Windrichtung
Windrichtung [°N],946,Windrichtung
Windrichtung B,946,Windrichtung
Windrichtung A,946,Windrichtung
6 Windgeschwindigkeit,941,Windgeschwindigkeit
Windgeschwindigkeit,941,Windgeschwindigkeit
Windgeschwindigkeit A,941,Windgeschwindigkeit
Windgeschwindigkeit [m/s],941,Windgeschwindigkeit
Windgeschwindigkeit B,941,Windgeschwindigkeit
wind speed,937,Wind Speed
Wind speed,937,Wind Speed
Wind Speed,937,Wind Speed
6 Wind Speed,937,Wind Speed
UVI,935,UVI
6 UVI,935,UVI
7 UV,931,UV
UV,931,UV
uv,931,UV
6 UV,931,UV
6 Rain,927,Rain
rain,927,Rain
Rain /h,927,Rain
Rain,927,Rain
6 Niederschlagsintensität,923,Niederschlagsintensität
Niederschlagsintensität  2,923,Niederschlagsintensität
Niederschlagsintensität,923,Niederschlagsintensität
Niederschlagsintensität 1,923,Niederschlagsintensität
7 Light,919,Light
light,919,Light
6 Light,919,Light
Light,919,Light
6 Humidity SHT31.2 B1E,917,Humidity SHT31.2 B1E
6 Temperature SHT31.2 B1E,917,Humidity SHT31.2 B1E
6 Temperature SHT31.1 FPCB,915,Humidity SHT31.1 FPCB
6 Humidity SHT31.1 FPCB,915,Humidity SHT31.1 FPCB
5A Temperature SHT85_1,910,5A Temperature SHT31_0
5A Temperature SHT31_3,910,5A Temperature SHT31_0
5A Temperature SHT85_2,910,5A Temperature SHT31_0
5A Temperature SHT31_0,910,5A Temperature SHT31_0
Pressure BME 680,908,5A Pressure BME
5A Pressure BME 680,908,5A Pressure BME
5A Humidity SHT31_3,906,5A Humidity SHT31_0
5A Humidity SHT31_0,906,5A Humidity SHT31_0
5A Humidity BME680,903,5A Humidity BME680
5A Humidity SHT85_1,903,5A Humidity BME680
5A Humidity SHT85_2,903,5A Humidity BME680
4B Lufttemperatur SHT85_2,901,4B Lufttemperatur SHT85_1
4B Lufttemperatur SHT85_1,901,4B Lufttemperatur SHT85_1
4B Lufttemperatur SHT31_1,899,4B Lufttemperatur SHT31_1
4B Lufttemperatur SHT31_2,899,4B Lufttemperatur SHT31_1
4B Luftfeuchte SHT85_2,897,4B Luftfeuchte SHT85_1
4B Luftfeuchte SHT85_1,897,4B Luftfeuchte SHT85_1
4A Lufttemperatur SHT85_4,892,4A Lufttemperatur SHT85_1
4A Lufttemperatur SHT85_3,892,4A Lufttemperatur SHT85_1
4A Lufttemperatur SHT85_1,892,4A Lufttemperatur SHT85_1
4A Lufttemperatur SHT85_2,892,4A Lufttemperatur SHT85_1
4A Lufttemperatur SHT31,890,4A Lufttemperatur SHT31
4A Lufttemperatur SHT31_2,890,4A Lufttemperatur SHT31
4A Lufttemperatur BME680,885,4A Lufttemperatur BME680
Lufttemperatur BME680,885,4A Lufttemperatur BME680
Lufttemperatur 2-BME680,885,4A Lufttemperatur BME680
"Lufttemperatur, BME680",885,4A Lufttemperatur BME680
Lufttemperatur (BME680),885,4A Lufttemperatur BME680
4A Luftfeuchte SHT85_2,882,4A Luftfeuchte SHT85_2
4A Luftfeuchte SHT85_3,882,4A Luftfeuchte SHT85_2
4A Luftfeuchte SHT85_4,882,4A Luftfeuchte SHT85_2
4A Luftfeuchte SHT31_2,880,4A Luftfeuchte SHT31
4A Luftfeuchte SHT31,880,4A Luftfeuchte SHT31
"VOC, BME680",874,A VOC BME680
4 A VOC BME680,874,A VOC BME680
VOC BME680,874,A VOC BME680
VOC bme680,874,A VOC BME680
VOC (BME680),874,A VOC BME680
Air temperature,868,A Air Temperature BME680
Air Temperature,868,A Air Temperature BME680
air temperature,868,A Air Temperature BME680
4 A Air Temperature BME680,868,A Air Temperature BME680
3B Temperature SHT85_2,863,3B Temperature SHT85_1
3B Temperature SHT85_1,863,3B Temperature SHT85_1
3B Temperature SHT85_3,863,3B Temperature SHT85_1
3B Temperature SHT31_2,861,3B Temperature SHT31_1
3B Temperature SHT31_1,861,3B Temperature SHT31_1
3b Lufttemperatur BME,858,3b Lufttemperatur BME
Lufttemperatur BME,858,3b Lufttemperatur BME
Luftfeuchtigkeit SHT31_0,853,3b Luftfeuchtigkeit SHT31
Luftfeuchtigkeit SHT31_1,853,3b Luftfeuchtigkeit SHT31
Luftfeuchtigkeit SHT31_2,853,3b Luftfeuchtigkeit SHT31
3b Luftfeuchtigkeit SHT31,853,3b Luftfeuchtigkeit SHT31
Luftfeuchtigkeit SHT31_3,853,3b Luftfeuchtigkeit SHT31
3b Luftdruck BME,851,3b Luftdruck BME
Luftdruck BME,851,3b Luftdruck BME
3B Humidity SHT85_3,846,3B Humidity SHT31_1
3B Humidity SHT85_1,846,3B Humidity SHT31_1
3B Humidity SHT31_2,846,3B Humidity SHT31_1
3B Humidity SHT31_1,846,3B Humidity SHT31_1
3B Humidity SHT85_2,846,3B Humidity SHT31_1
3A Temperature SHT85 0,834,3A Temperature SHT85
3A Temperature SHT85 1,834,3A Temperature SHT85
3A Temperature SHT85 2,834,3A Temperature SHT85
3A Temperature SHT85 3,834,3A Temperature SHT85
3A Temperature SHT85 5,834,3A Temperature SHT85
3A Temperature SHT85_3,834,3A Temperature SHT85
3A Temperature SHT85_1,834,3A Temperature SHT85
3A Temperature SHT85_2,834,3A Temperature SHT85
3A Temperature SHT85 4,834,3A Temperature SHT85
3A Temperature SHT31 1,831,3A Temperature SHT31
3A Temperature SHT31_1,831,3A Temperature SHT31
3A Temperature SHT31 0,831,3A Temperature SHT31
3A Niederschlag Davis,827,3A Niederschlag Davis
"Niederschlag, Davis",827,3A Niederschlag Davis
Niederschlag Davis,827,3A Niederschlag Davis
7 Niederschlag Davis,827,3A Niederschlag Davis
3A Humidity SHT85_2,818,3A Humidity SHT85
3A Humidity SHT85_3,818,3A Humidity SHT85
3A Humidity SHT85 4,818,3A Humidity SHT85
3A Humidity SHT85_1,818,3A Humidity SHT85
3A Humidity SHT85 3,818,3A Humidity SHT85
3A Humidity SHT85 5,818,3A Humidity SHT85
3A Humidity SHT85 2,818,3A Humidity SHT85
3A Humidity SHT85 0,818,3A Humidity SHT85
3A Humidity SHT85 1,818,3A Humidity SHT85
3A Humidity SHT31 0,815,3A Humidity SHT31
3A Humidity SHT31 1,815,3A Humidity SHT31
3A Humidity SHT31_1,815,3A Humidity SHT31
GPS-Time,809,GPS Time
GPS Time,809,GPS Time
GPS Time Raw,809,GPS Time
6 GPS Time,809,GPS Time
3 GPS Time,809,GPS Time
7 GPS Time,809,GPS Time
GPS Satellites,807,GPS Satellites
3 GPS Satellites,807,GPS Satellites
7 GPS Lon,803,GPS Lon
6 GPS Lon,803,GPS Lon
GPS Lon,803,GPS Lon
3 GPS Lon,803,GPS Lon
GPS Lat,798,GPS Lat
3 GPS Lat,798,GPS Lat
GPS lat 25,798,GPS Lat
GPS 6 Lat,798,GPS Lat
7 GPS Lat,798,GPS Lat
25 Temperature SHT_2,794,Temperature SHT_1
25 Temperature SHT_3,794,Temperature SHT_1
25 Temperature SHT_4,794,Temperature SHT_1
25 Temperature SHT_1,794,Temperature SHT_1
25 rel. Luftfeuchtigkeit SHT_2,790,rel. Luftfeuchtigkeit SHT_1
25 rel. Luftfeuchtigkeit SHT_3,790,rel. Luftfeuchtigkeit SHT_1
25 rel. Luftfeuchtigkeit SHT_4,790,rel. Luftfeuchtigkeit SHT_1
25 rel. Luftfeuchtigkeit SHT_1,790,rel. Luftfeuchtigkeit SHT_1
24 Temperature SHT85 4,786,Temperature SHT85
24 Temperature SHT85 3,786,Temperature SHT85
24 Temperature SHT85 2,786,Temperature SHT85
24 Temperature SHT85 1,786,Temperature SHT85
24 Temperature SHT31 3 (thick),784,Temperature SHT31 3 (thick)
24 Temperature SHT31 4 (thick),784,Temperature SHT31 3 (thick)
24 Temperature SHT31 2 (thin),782,Temperature SHT31 1 (thin)
24 Temperature SHT31 1 (thin),782,Temperature SHT31 1 (thin)
7 Temperature HDC 1080,780,Temperature HDC
24 Temperature HDC,780,Temperature HDC
24 Temperature DHT22 2,777,Temperature DHT22
"Temperature, DHT22",777,Temperature DHT22
24 Temperature DHT22 1,777,Temperature DHT22
Temperature (DHT11),774,Temperature DHT11
24 Temperature DHT11 1,774,Temperature DHT11
24 Temperature DHT11 2,774,Temperature DHT11
24 Humidity SHT85 4,770,Humidity SHT85
24 Humidity SHT85 3,770,Humidity SHT85
24 Humidity SHT85 2,770,Humidity SHT85
24 Humidity SHT85 1,770,Humidity SHT85
24 Humidity SHT31 3 (thick),768,Humidity SHT31 3 (thick)
24 Humidity SHT31 4 (thick),768,Humidity SHT31 3 (thick)
24 Humidity SHT31 1 (thin),766,Humidity SHT31 1 (thin)
24 Humidity SHT31 2 (thin),766,Humidity SHT31 1 (thin)
7 Humidity HDC 1080,764,Humidity HDC
24 Humidity HDC,764,Humidity HDC
24 Humidity DHT22 1,762,Humidity DHT22
24 Humidity DHT22 2,762,Humidity DHT22
24 Humidity DHT11 2,759,Humidity DHT11
Humidity (DHT11),759,Humidity DHT11
24 Humidity DHT11 1,759,Humidity DHT11
23 rel. Humidity HDC1080,757,rel. Humidity HDC1080
23 rel. Humidity SHT85,757,rel. Humidity HDC1080
GPS - Longitude,755,GPS Longitude
23 GPS Longitude,755,GPS Longitude
GPS - Latitude,753,GPS Latitude
23 GPS Latitude,753,GPS Latitude
23 Differential Pressure 1,750,Differential Pressure
23 Differential Pressure 3,750,Differential Pressure
23 Differential Pressure 2,750,Differential Pressure
23 Davis-Anemometer Wind Direction,748,Davis-Anemometer Wind Direction
23 Davis-Anemometer Wind Speed,748,Davis-Anemometer Wind Direction
3A Wind Speed Davis,746,Wind Speed Davis
5A Wind speed Davis,746,Wind Speed Davis
21 Wind Speed Davis,746,Wind Speed Davis
Wind Speed Davis,746,Wind Speed Davis
20 SHT85_6,740,SHT85_1
20 SHT85_5,740,SHT85_1
20 SHT85_4,740,SHT85_1
20 SHT85_3,740,SHT85_1
20 SHT85_2,740,SHT85_1
20 SHT85_1,740,SHT85_1
UV-Intensität,733,UV-Intensität
2 UV-Intensität,733,UV-Intensität
G4-UV-Intensität,733,UV-Intensität
